"Period,Coal,Petroleum Liquids,Petroleum Coke,Natural Gas,Other Fossil Gas,Nuclear,Hydroelectric Conventional,Solar,Renewable Sources Excluding Hydroelectric and Solar,Hydroelectric Pumped Storage,Other,Total Generation at Utility Scale Facilities,Estimated Solar Photovoltaic,Estimated Total Solar Photovoltaic,Estimated Total Solar"
"2013,1581115,13820,13344,1124836,12853,789016,268565,9036,244472,-4681,13588,4065964,,,,"
"2014,1581710,18276,11955,1126635,12022,797166,259367,17691,261522,-6174,13933,4093564,11233,26482,28924"
"2015,1352398,17372,10877,1334668,13117,797178,249080,24893,270268,-5091,13955,4078714,14139,35805,39032"
"2016,1239149,13008,11197,1379271,12807,805694,267812,36054,305579,-6686,13689,4077574,18812,51483,54866"
"2017,1205835,12414,8976,1297703,12469,804950,300333,53287,332963,-6495,13008,4035443,23990,74008,77277"
"2018,1149487,16245,8981,1471843,13463,807084,292524,63825,350467,-5905,12973,4180988,29539,89773,93365"
"2019,964957,11522,6819,1588533,12591,809409,287874,71937,368862,-5261,13331,4130574,34957,103676,106894"
"2020,773393,9662,7679,1626790,11118,789879,285274,89199,408539,-5321,12855,4009767,41522,127588,130721"
"2021,897999,11663,7511,1579190,11397,779645,251585,115258,448424,-5112,12140,4109699,49164,161499,164422"
"2022,831512,15805,7126,1687065,11722,771537,254789,143792,502234,-6028,11114,4230668,61282,202075,205074"
"2023,675115,11397,4836,1806063,11778,774873,245002,165530,484708,-5990,9957,4183271,73406,236090,238937"
"2021-January,81240,936,702,126530,1035,71732,24560,5559,36231,-424,1109,349210,2750,8229,8309"
"2021-February,87470,1589,660,111183,820,62954,20137,6330,32261,-425,921,323900,2939,9135,9270"
"2021-March,61904,791,645,107019,860,63708,21220,9296,45129,-236,1060,311397,4158,13196,13454"
"2021-April,53956,802,422,107416,871,57092,19389,10892,41696,-197,969,293308,4610,15168,15502"
"2021-May,63873,835,534,114676,914,63394,23309,12457,39602,-416,1003,320181,5063,17127,17520"
"2021-June,87265,932,453,149376,974,66070,23454,12197,32506,-376,1006,373856,5107,16983,17304"
"2021-July,101537,883,681,170189,1046,68832,22098,12192,27811,-685,1041,405624,5192,17127,17384"
"2021-August,101855,1197,747,172716,1031,69471,20328,11967,33192,-670,1031,412865,4924,16551,16891"
"2021-September,78877,950,638,138214,984,64520,17022,11214,34783,-434,975,347744,4370,15282,15584"
"2021-October,62572,894,655,131852,1062,58401,17133,9268,37809,-427,982,320202,3821,12866,13089"
"2021-November,57426,887,783,122433,871,62749,19373,7795,41400,-377,970,314310,3259,10866,11054"
"2021-December,60025,968,591,127586,930,70720,23562,6091,46004,-445,1073,337104,2970,8969,9061"
"2022-January,87588,3105,564,134948,1005,70577,24198,7822,43424,-493,1029,373766,3376,11065,11198"
"2022-February,70966,1114,621,114945,886,61852,21321,9027,43090,-412,900,324311,3717,12585,12744"
"2022-March,61019,959,500,112477,953,63154,24436,11694,48677,-318,979,324530,5121,16560,16815"
"2022-April,55329,749,528,105506,921,55290,20066,13402,51528,-265,941,303994,5671,18751,19073"
"2022-May,62532,834,596,127091,1036,63382,23359,15120,47729,-467,971,342184,6236,20985,21356"
"2022-June,73463,897,683,155517,987,65715,25988,16052,39461,-589,959,379134,6229,21910,22281"
"2022-July,86415,1045,488,189042,1083,68857,24567,15765,35499,-768,982,422975,6438,21915,22203"
"2022-August,85215,1001,576,188860,1008,68897,21133,14502,30657,-640,924,412133,6194,20418,20697"
"2022-September,64998,942,648,156948,987,63733,17026,13286,32840,-598,845,351655,5544,18545,18830"
"2022-October,54228,952,610,133492,968,58945,14367,11942,38036,-434,844,313949,5022,16674,16964"
"2022-November,56377,911,568,127523,911,62041,17898,8403,46779,-495,864,321780,4035,12289,12438"
"2022-December,73381,3296,744,140716,978,69094,20430,6777,44514,-548,876,360257,3698,10377,10475"
"2023-January,61357,983,421,138339,945,70870,22754,7806,44039,-620,890,347784,3989,11711,11795"
"2023-February,46374,1233,395,124892,891,60807,19961,9435,46464,-456,779,310776,4387,13713,13822"
"2023-March,50096,924,314,133558,1028,62820,21331,12213,49008,-519,791,331565,6005,18064,18218"
"2023-April,40233,868,301,119878,866,56662,19820,15062,47623,-290,745,301768,6742,21509,21803"
"2023-May,43804,880,330,137296,1011,61155,27651,17281,37566,-459,858,327374,7543,24525,24824"
"2023-June,57772,878,389,161851,974,64819,21572,17834,32725,-551,839,359101,7405,24874,25239"
"2023-July,78903,964,651,199289,1046,69888,21978,18894,33391,-656,873,425220,7720,26234,26614"
"2023-August,78112,958,651,199000,1088,69744,21293,17744,33879,-653,866,422682,7504,24938,25248"
"2023-September,59959,894,592,166151,983,65560,16916,15583,33467,-553,776,360328,6604,21894,22187"
"2023-October,50933,990,293,140655,924,61436,15673,14121,41061,-372,838,326549,6076,19910,20196"
"2023-November,51209,906,179,135358,959,62258,17026,10446,41772,-347,845,320610,4938,15218,15384"
"2023-December,56365,920,318,149798,1062,68854,19028,9113,43713,-514,857,349513,4494,13500,13606"