Year,Actual_Demand_TWh,Forecast_Demand_TWh,Forecast_Lower_TWh,Forecast_Upper_TWh,Coal_TWh,Natural_Gas_TWh,Nuclear_TWh,Hydro_TWh,Solar_TWh,Other_TWh,LBNL_historical,LBNL_low,LBNL_high,IEA_x,BCG_low,BCG_x,EPRI_historical,EPRI_low,EPRI_moderate,EPRI_high,EPRI_higher,Jeffries_x,Goldman_Sachs,McKinsey_x,S_P,IEA_2025,BNEF_x,DC_Mean,DC_Upper,DC_Lower,LBNL low,LBNL high,IEA_y,IEA_y,BCG low,BCG_y,EPRI low,EPRI moderate,EPRI high,EPRI higher,Jeffries_y,Goldman Sachs,McKinsey_y,S&P,BNEF_y
2013,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,97.49,28.51,25.66,31.36,1.39,57.38,16.25,1.3,1.3,20.16,64.21,,,,,,28.51,,,,,,,,,,,46.36045684023321,50.996502524256535,41.72441115620989,,,,,,,,,,,,,,,28.507221076149506
2015,92.38,32.75,29.47,36.02,1.32,54.55,15.48,1.24,1.24,19.2,67.55,,,,,,32.75,,,,,,,,,,,50.14767374921158,55.16244112413274,45.13290637429042,,,,,,,,,,,,,,,32.749439857026594
2016,92.21,37.44,33.69,41.18,1.32,54.43,15.44,1.23,1.23,19.2,69.78,,,,75.1,74.53,,37.44,,,,,,,,,,64.2124718845945,70.63371907305397,57.79122469613506,,,,,,,,,,,75.09500588757864,74.5334975131758,,,37.43672886453061
2017,90.65,44.29,39.86,48.72,1.3,53.5,15.17,1.21,1.21,18.72,74.5,,,,81.66,74.4,,44.29,,,,,,,,,,68.71124715831054,75.5823718741416,61.84012244247949,,,,,,,,,,,81.65723755360979,74.39780532458424,,,44.28993668902363
2018,94.58,48.9,44.01,53.79,1.35,55.8,15.83,1.26,1.26,19.68,84.06,,,,100.49,73.93,,48.9,,,,,,,,,,76.84598528997353,84.53058381897088,69.16138676097617,,,,,,,,,,,100.4910837798497,73.93258506817037,,,48.903461958779516
2019,93.5,55.65,50.08,61.21,1.34,55.18,15.65,1.25,1.25,19.44,94.88,,,,96.52,75.12,,55.65,,,,,,,,,,80.54376341701126,88.59813975871239,72.48938707531013,,,,,,,,,,,96.52064290228513,75.12321536249995,,,55.64739765810032
2020,89.04,69.01,62.11,75.92,1.27,52.61,14.93,1.19,1.19,18.48,109.21,,,84.78,,119.26,75.33,,114.04,69.01,,,,,,,,95.27236625699982,104.7996028826998,85.74512963129983,,,,114.04101158655219,,,,,,,119.25752328558254,75.33172573574024,,,69.01459792651428
2021,97.34,85.15,76.64,93.67,1.39,57.49,16.31,1.3,1.3,20.16,144.77,,,130.3,,90.21,,129.3,85.15,,,,,,,,,115.9486416476439,127.5435058124083,104.35377748287951,,,,129.30343397039425,,,,,,,130.3033677790597,90.21277665739035,,,85.15301373925689
2022,97.87,102.5,92.25,112.76,1.3,57.58,16.25,1.3,1.3,20.16,184.08,184.08,184.08,199.47,,144.8,107.73,,144.51,102.5,,,,,,,,156.40564279690693,172.04620707659763,140.76507851721624,184.07687907650865,184.07687907650865,199.46529828686076,144.51142896455673,,,,,,,144.80017393744254,107.73273102212812,,,102.50487293474144
2023,102.46,118.41,106.57,130.25,,,,,1.93,10.05,,119.7,,196.82,128.42,151.54,164.48,118.41,,,,,,,,,,161.05296707294448,177.15826378023894,144.94767036565003,194.6162043129649,214.44489023417114,,164.48010181339797,,,,,,,196.81959320306234,128.41595222222094,151.53934526492282,,118.40798731701128
2024,109.31,146.48,131.83,161.13,,,,,2.66,10.14,329.24,329.52,119.6,,252.38,149.95,182.34,284.52,194.68,146.48,,,,,,,,225.17220015292187,247.68942016821407,202.65498013762968,224.07189491842547,264.1091805246922,,194.68476420921252,329.24399815568563,329.5229435113226,,,,,252.38281364007977,149.94805578777496,182.3370095190784,284.51525197277556,146.48051259157586
2025,116.16,180.03,162.02,198.03,1.46,65.76,18.62,1.49,1.49,23.04,,254.07,324.13,,353.99,404.45,164.91,167.64,175.04,183.08,285.57,180.72,228.46,346.79,263.92,180.03,,250.91331003544377,276.00464103898815,225.8219790318994,254.06967993572223,324.13302438999625,,263.9155314930144,353.98552742438505,404.4544648312504,164.91470271367243,167.63945801075255,175.04144014146954,183.07970351984662,285.5653307429501,180.72122003581214,228.45505129718194,346.78606117928354,180.02514478087537
2026,,213.97,192.57,235.36,,,,,,,262.12,428.99,479.87,,171.27,175.39,191.69,209.63,333.81,214.46,296.47,409.7,304.69,213.97,,,,292.0933629575064,321.30269925325706,262.88402666175574,284.7923570260493,404.56776904967677,262.12100914584454,304.6865994136815,428.98580640426775,479.8742777835691,171.27231798788748,175.38829525196118,191.6872034109863,209.62856380175677,333.8081469888169,214.45884581722117,296.4654491599333,409.69838944315524,213.96541367778846
2027,,244.13,219.72,268.54,,,,,,,,504.34,579.31,,176.83,183.7,210.9,240.48,382.45,252.08,375.5,472.27,354.78,244.13,,,,340.3995985877871,374.43955844656585,306.3596387290084,304.2827126150336,484.5362743668294,,354.7842483347973,504.3418673410482,579.3136076364034,176.82856021803786,183.70124061819374,210.90015835818974,240.47757366796975,382.4548944384214,252.07765184062498,375.49520155329157,472.26995400052965,244.13043523964814
2028,,274.52,247.07,301.97,,,,,,,,628.93,704.0,,183.21,192.58,231.57,275.75,437.13,288.42,454.72,534.35,394.57,274.52,,,,393.47923697909164,432.82716067700085,354.1313132811825,329.84156045394957,579.1171227027526,,394.5731220380184,628.926980753597,704.0031915229852,183.21425495978593,192.57862432999823,231.5661245110476,275.7452412434652,437.1348491982852,288.41789533372344,454.72386962742195,534.345850964206,274.5206300680469
2029,,301.04,270.93,331.14,,,,,,,854.44,,190.45,202.0,253.96,316.38,470.04,326.56,517.64,,424.76,301.04,,,,,,398.74275522732637,438.61703075005903,358.86847970459377,,,,424.7575122232707,528.9002159036836,854.4441953050189,190.44680984271812,202.00333724070543,253.96424426791685,316.38368865533334,470.03504949419784,326.56070787655335,517.6384552652719,,301.0360914259202
2030,,326.64,294.0,359.31,,,,,,,1054.87,,200.91,218.03,301.02,408.48,534.31,366.05,610.24,,434.68,326.64,,,,,,478.11055135708375,525.9216064927922,430.29949622137536,,,,434.68423381745674,803.9864310840006,1054.866996469472,200.90617066589172,218.02927300182947,301.0159009761986,408.4764062978412,534.3112439692875,366.05357022750024,610.2422134499719,,326.6436249684717
